INFO 2020-01-14 19:16:58 +0100 || protokol || menzáč || h!protokol
INFO 2020-01-14 20:46:41 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 20:48:09 +0100 || linux interjection || ElDandee || h!linux
INFO 2020-01-14 20:50:04 +0100 || rozsazeni || Holo's Papa || h!rozsazeni
INFO 2020-01-14 20:50:11 +0100 || rozsazeni-attempt || Holo's Papa || h!rozsazeni
INFO 2020-01-14 20:51:08 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 20:51:49 +0100 || karma || olok || h!karma
INFO 2020-01-14 20:53:01 +0100 || gde body || Holo's Papa || ale chtel bych pridat aby to mutovalo za gde body
INFO 2020-01-14 21:09:20 +0100 || set_quote || Holo's Papa || h!set_quote <:gasbutton:360776402871648256>
INFO 2020-01-14 21:09:26 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 21:10:10 +0100 || set_quote || Holo's Papa || h!set_quote :tomStare:
INFO 2020-01-14 21:10:13 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 21:26:17 +0100 || gde body || peter || gde body
INFO 2020-01-14 21:27:13 +0100 || karma || peter || h!karma
INFO 2020-01-14 21:28:13 +0100 || pasta || Holo's Papa || h!pasta at se nemusite morit se sitema <:HAhaa:358329530668154880>
INFO 2020-01-14 21:34:28 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 21:35:44 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-14 21:37:10 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-14 21:38:53 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-14 21:39:18 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 21:40:44 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-14 21:42:37 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-14 21:44:22 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-14 21:45:21 +0100 || bezkontextova_gramatika || Holo's Papa || h!bezkontextova_gramatika
INFO 2020-01-14 21:48:40 +0100 || CNF || Holo's Papa || h!CNF
INFO 2020-01-14 21:50:41 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-14 21:51:46 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-14 21:51:50 +0100 || konecny_automat || Holo's Papa || h!konecny_automat
INFO 2020-01-14 22:16:24 +0100 || ISA_help || Holo's Papa || h!ISA_help
INFO 2020-01-14 22:32:40 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 22:46:23 +0100 || vahove_fronty || Yumi || h!vahove_fronty
INFO 2020-01-14 22:55:26 +0100 || ping || 0.0909304 || Holo's Papa || h!ping
INFO 2020-01-14 22:56:34 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 22:56:40 +0100 || FIT_zaznamy_link || Holo's Papa || h!FIT_zaznamy_link
INFO 2020-01-14 23:15:59 +0100 || help || ElDandee || h!help
INFO 2020-01-15 00:19:51 +0100 || set_quote || Holo's Papa || h!set_quote Gregr > Lengal
INFO 2020-01-15 00:42:31 +0100 || strawpoll || Holo's Papa || h!strawpoll nejheczi_marka julia ta_du aiudwh
INFO 2020-01-15 00:42:40 +0100 || strawpoll || Holo's Papa || h!strawpoll a awd jidwa j oji
INFO 2020-01-15 01:07:03 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-15 01:07:28 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-15 01:07:34 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-15 01:07:40 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-15 01:09:06 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-15 01:13:32 +0100 || help || molitann || h!help
INFO 2020-01-15 01:13:48 +0100 || FIT_zaznamy_link || molitann || h!FIT_zaznamy_link
INFO 2020-01-15 13:07:37 +0100 || set_quote || Holo's Papa || h!set_quote ISA zkouska ez
INFO 2020-01-15 13:49:01 +0100 || gde body || peter || Gde body myslíš?
INFO 2020-01-15 15:04:41 +0100 || help || olok || h!help
INFO 2020-01-15 15:04:47 +0100 || racism || Šmoula || h!racism
INFO 2020-01-15 15:04:50 +0100 || karma || Gojin (Pašerák) || h!karma
INFO 2020-01-15 22:33:45 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-15 22:33:56 +0100 || konecny_automat || Holo's Papa || h!konecny_automat
INFO 2020-01-15 22:36:23 +0100 || rozsazeni || Cabbage || h!rozsazeni
INFO 2020-01-15 22:38:20 +0100 || help || Holo's Papa || h!help
INFO 2020-01-15 22:38:27 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-15 22:38:51 +0100 || GNF || Cabbage || h!GNF - Greibachové normální forma
INFO 2020-01-15 22:38:58 +0100 || bezkontextova_gramatika || Holo's Papa || h!bezkontextova_gramatika
INFO 2020-01-16 01:50:17 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-16 02:12:07 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-16 11:25:19 +0100 || karma || Toaster || h!karma
INFO 2020-01-17 01:03:55 +0100 || ping || 0.1449089 || Holo's Papa || h!ping
INFO 2020-01-17 01:04:08 +0100 || gibabay || Holo's Papa || h!ga my dicc hard 4 2080
INFO 2020-01-17 01:07:31 +0100 || gde body || peter || gde body
INFO 2020-01-17 02:07:04 +0100 || leaky_bucket || Holo's Papa || h!token_bucket
INFO 2020-01-17 02:07:35 +0100 || set_quote || Holo's Papa || h!set_quote ISA je ez
INFO 2020-01-17 02:07:53 +0100 || quote || olok || h!quote
INFO 2020-01-17 02:40:58 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:16 +0100 || linux interjection || olok || h!linux
INFO 2020-01-17 02:41:22 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:23 +0100 || help || olok || h!help
